site_code,obs_time,water_level,flow,rainfall
SH00179,2024-01-02 00:00,28.92,294.1,39.72
SH00086,2024-01-02 00:10,24.72,74.67,47.27
SH00029,2024-01-02 00:20,17.66,259.41,2.04
SH00018,2024-01-02 00:30,21.22,398.11,6.92
SH00167,2024-01-02 00:40,19.57,472.62,29.01
SH00058,2024-01-02 00:50,16.41,454.07,25.18
SH00096,2024-01-02 01:00,16.9,268.8,26.33
SH00174,2024-01-02 01:10,26.51,454.75,22.6
SH00178,2024-01-02 01:20,26.18,473.39,3.28
SH00021,2024-01-02 01:30,17.81,130.47,47.91
SH00029,2024-01-02 01:40,23.94,273.35,43.75
SH00076,2024-01-02 01:50,18.33,357.08,46.59
SH00166,2024-01-02 02:00,10.43,135.08,1.1
SH00134,2024-01-02 02:10,22.89,235.26,17.14
SH00152,2024-01-02 02:20,23.32,288.57,27.42
SH00079,2024-01-02 02:30,13.43,167.0,24.21
SH00013,2024-01-02 02:40,12.97,177.97,47.81
SH00138,2024-01-02 02:50,15.7,487.94,41.97
SH00040,2024-01-02 03:00,13.23,102.61,49.69
SH00095,2024-01-02 03:10,13.69,303.12,1.73
SH00096,2024-01-02 03:20,18.97,488.96,26.68
SH00128,2024-01-02 03:30,25.37,476.51,46.39
SH00140,2024-01-02 03:40,29.51,199.08,35.27
SH00147,2024-01-02 03:50,23.34,409.81,36.43
SH00029,2024-01-02 04:00,24.63,455.08,6.97
SH00103,2024-01-02 04:10,22.35,149.16,17.87
SH00050,2024-01-02 04:20,21.67,149.96,46.78
SH00138,2024-01-02 04:30,26.99,354.68,47.88
SH00126,2024-01-02 04:40,16.36,322.29,47.17
SH00038,2024-01-02 04:50,34.32,242.44,19.31
SH00115,2024-01-02 05:00,27.49,89.42,36.39
SH00114,2024-01-02 05:10,15.77,412.55,48.52
SH00036,2024-01-02 05:20,26.71,319.07,7.18
SH00135,2024-01-02 05:30,29.73,79.75,48.0
SH00105,2024-01-02 05:40,22.78,173.0,8.74
SH00036,2024-01-02 05:50,13.99,424.53,14.47
SH00078,2024-01-02 06:00,26.69,186.76,27.96
SH00001,2024-01-02 06:10,13.08,185.08,32.03
SH00171,2024-01-02 06:20,27.85,237.72,24.59
SH00031,2024-01-02 06:30,25.29,271.87,48.53
SH00124,2024-01-02 06:40,21.31,440.76,31.4
SH00031,2024-01-02 06:50,17.46,379.83,0.88
SH00038,2024-01-02 07:00,16.39,445.24,6.77
SH00108,2024-01-02 07:10,22.72,479.82,2.44
SH00020,2024-01-02 07:20,20.28,394.9,9.16
SH00140,2024-01-02 07:30,16.45,192.29,42.25
SH00179,2024-01-02 07:40,23.77,593.13,29.0
SH00096,2024-01-02 07:50,25.58,235.4,46.05
SH00129,2024-01-02 08:00,14.42,134.79,44.85
SH00135,2024-01-02 08:10,26.92,370.65,35.11
SH00020,2024-01-02 08:20,12.33,109.05,0.87
SH00036,2024-01-02 08:30,26.34,450.38,29.88
SH00078,2024-01-02 08:40,10.58,416.56,11.12
SH00059,2024-01-02 08:50,16.15,144.43,49.06
SH00029,2024-01-02 09:00,11.55,398.61,37.87
SH00169,2024-01-02 09:10,20.27,76.67,5.95
SH00171,2024-01-02 09:20,10.21,93.43,6.19
SH00052,2024-01-02 09:30,13.7,208.19,4.54
