site_code,total_records,duplicate_count,anomaly_count,duplicate_rate,anomaly_rate
SH00001,33,0,31,0.0000,0.9394
SH00002,35,0,34,0.0000,0.9714
SH00003,20,0,18,0.0000,0.9000
SH00004,27,0,25,0.0000,0.9259
SH00005,22,0,20,0.0000,0.9091
SH00006,20,0,19,0.0000,0.9500
SH00007,23,0,21,0.0000,0.9130
SH00008,29,0,27,0.0000,0.9310
SH00009,26,0,24,0.0000,0.9231
SH00010,24,0,23,0.0000,0.9583
SH00011,34,0,29,0.0000,0.8529
SH00012,32,0,29,0.0000,0.9062
SH00013,24,0,23,0.0000,0.9583
SH00014,31,0,28,0.0000,0.9032
SH00015,24,0,23,0.0000,0.9583
SH00016,19,0,17,0.0000,0.8947
SH00017,28,0,26,0.0000,0.9286
SH00018,30,0,26,0.0000,0.8667
SH00019,24,0,21,0.0000,0.8750
SH00020,36,0,32,0.0000,0.8889
SH00021,26,0,24,0.0000,0.9231
SH00022,31,0,29,0.0000,0.9355
SH00023,21,0,20,0.0000,0.9524
SH00024,18,0,17,0.0000,0.9444
SH00025,23,0,21,0.0000,0.9130
SH00026,29,0,27,0.0000,0.9310
SH00027,30,0,29,0.0000,0.9667
SH00028,24,0,23,0.0000,0.9583
SH00029,29,0,28,0.0000,0.9655
SH00030,23,0,22,0.0000,0.9565
SH00031,24,0,23,0.0000,0.9583
SH00032,32,0,31,0.0000,0.9688
SH00033,32,0,29,0.0000,0.9062
SH00034,22,0,21,0.0000,0.9545
SH00035,22,0,21,0.0000,0.9545
SH00036,47,0,44,0.0000,0.9362
SH00037,28,0,27,0.0000,0.9643
SH00038,33,0,31,0.0000,0.9394
SH00039,29,0,28,0.0000,0.9655
SH00040,33,0,32,0.0000,0.9697
SH00041,21,0,18,0.0000,0.8571
SH00042,30,0,28,0.0000,0.9333
SH00043,26,0,24,0.0000,0.9231
SH00044,28,0,27,0.0000,0.9643
SH00045,36,0,33,0.0000,0.9167
SH00046,29,0,26,0.0000,0.8966
SH00047,26,0,25,0.0000,0.9615
SH00048,18,0,17,0.0000,0.9444
SH00049,32,0,31,0.0000,0.9688
SH00050,25,0,23,0.0000,0.9200
SH00051,24,0,22,0.0000,0.9167
SH00052,18,0,17,0.0000,0.9444
SH00053,26,0,25,0.0000,0.9615
SH00054,32,0,31,0.0000,0.9688
SH00055,24,0,21,0.0000,0.8750
SH00056,31,0,29,0.0000,0.9355
SH00057,25,0,22,0.0000,0.8800
SH00058,27,0,26,0.0000,0.9630
SH00059,27,0,26,0.0000,0.9630
SH00060,29,0,28,0.0000,0.9655
SH00061,29,0,28,0.0000,0.9655
SH00062,25,0,23,0.0000,0.9200
SH00063,36,0,34,0.0000,0.9444
SH00064,33,0,29,0.0000,0.8788
SH00065,18,0,17,0.0000,0.9444
SH00066,14,0,10,0.0000,0.7143
SH00067,28,0,26,0.0000,0.9286
SH00068,34,0,31,0.0000,0.9118
SH00069,26,0,22,0.0000,0.8462
SH00070,32,0,31,0.0000,0.9688
SH00071,24,0,23,0.0000,0.9583
SH00072,36,0,34,0.0000,0.9444
SH00073,29,0,28,0.0000,0.9655
SH00074,24,0,22,0.0000,0.9167
SH00075,18,0,16,0.0000,0.8889
SH00076,34,0,31,0.0000,0.9118
SH00077,40,0,37,0.0000,0.9250
SH00078,24,0,22,0.0000,0.9167
SH00079,20,0,18,0.0000,0.9000
SH00080,26,0,24,0.0000,0.9231
SH00081,36,0,34,0.0000,0.9444
SH00082,30,0,27,0.0000,0.9000
SH00083,21,0,19,0.0000,0.9048
SH00084,22,0,21,0.0000,0.9545
SH00085,28,0,27,0.0000,0.9643
SH00086,30,0,29,0.0000,0.9667
SH00087,26,0,25,0.0000,0.9615
SH00088,24,0,23,0.0000,0.9583
SH00089,27,0,25,0.0000,0.9259
SH00090,22,0,21,0.0000,0.9545
SH00091,25,0,24,0.0000,0.9600
SH00092,24,0,23,0.0000,0.9583
SH00093,25,0,24,0.0000,0.9600
SH00094,32,0,31,0.0000,0.9688
SH00095,26,0,25,0.0000,0.9615
SH00096,34,0,31,0.0000,0.9118
SH00097,28,0,26,0.0000,0.9286
SH00098,30,0,29,0.0000,0.9667
SH00099,22,0,20,0.0000,0.9091
SH00100,40,0,39,0.0000,0.9750
SH00101,30,0,28,0.0000,0.9333
SH00102,31,0,29,0.0000,0.9355
SH00103,33,0,32,0.0000,0.9697
SH00104,27,0,26,0.0000,0.9630
SH00105,31,0,29,0.0000,0.9355
SH00106,27,0,26,0.0000,0.9630
SH00107,26,0,25,0.0000,0.9615
SH00108,24,0,22,0.0000,0.9167
SH00109,32,0,31,0.0000,0.9688
SH00110,36,0,32,0.0000,0.8889
SH00111,24,0,22,0.0000,0.9167
SH00112,18,0,16,0.0000,0.8889
SH00113,26,0,25,0.0000,0.9615
SH00114,39,0,37,0.0000,0.9487
SH00115,22,0,18,0.0000,0.8182
SH00116,38,0,34,0.0000,0.8947
SH00117,34,0,32,0.0000,0.9412
SH00118,18,0,16,0.0000,0.8889
SH00119,29,0,26,0.0000,0.8966
SH00120,25,0,21,0.0000,0.8400
SH00121,24,0,21,0.0000,0.8750
SH00122,28,0,25,0.0000,0.8929
SH00123,29,0,28,0.0000,0.9655
SH00124,24,0,22,0.0000,0.9167
SH00125,24,0,23,0.0000,0.9583
SH00126,21,0,20,0.0000,0.9524
SH00127,31,0,26,0.0000,0.8387
SH00128,23,0,22,0.0000,0.9565
SH00129,23,0,21,0.0000,0.9130
SH00130,21,0,19,0.0000,0.9048
SH00131,29,0,28,0.0000,0.9655
SH00132,18,0,17,0.0000,0.9444
SH00133,24,0,23,0.0000,0.9583
SH00134,26,0,24,0.0000,0.9231
SH00135,24,0,23,0.0000,0.9583
SH00136,30,0,28,0.0000,0.9333
SH00137,31,0,30,0.0000,0.9677
SH00138,39,0,37,0.0000,0.9487
SH00139,20,0,19,0.0000,0.9500
SH00140,32,0,29,0.0000,0.9062
SH00141,19,0,18,0.0000,0.9474
SH00142,22,0,20,0.0000,0.9091
SH00143,22,0,21,0.0000,0.9545
SH00144,30,0,28,0.0000,0.9333
SH00145,31,0,28,0.0000,0.9032
SH00146,34,0,31,0.0000,0.9118
SH00147,38,0,36,0.0000,0.9474
SH00148,43,0,42,0.0000,0.9767
SH00149,28,0,27,0.0000,0.9643
SH00150,25,0,23,0.0000,0.9200
SH00151,25,0,23,0.0000,0.9200
SH00152,27,0,26,0.0000,0.9630
SH00153,23,0,22,0.0000,0.9565
SH00154,22,0,21,0.0000,0.9545
SH00155,28,0,25,0.0000,0.8929
SH00156,29,0,27,0.0000,0.9310
SH00157,25,0,22,0.0000,0.8800
SH00158,32,0,30,0.0000,0.9375
SH00159,21,0,20,0.0000,0.9524
SH00160,20,0,19,0.0000,0.9500
SH00161,33,0,29,0.0000,0.8788
SH00162,24,0,20,0.0000,0.8333
SH00163,30,0,28,0.0000,0.9333
SH00164,21,0,20,0.0000,0.9524
SH00165,29,0,28,0.0000,0.9655
SH00166,38,0,36,0.0000,0.9474
SH00167,27,0,26,0.0000,0.9630
SH00168,37,0,36,0.0000,0.9730
SH00169,33,0,32,0.0000,0.9697
SH00170,26,0,24,0.0000,0.9231
SH00171,27,0,25,0.0000,0.9259
SH00172,25,0,23,0.0000,0.9200
SH00173,20,0,17,0.0000,0.8500
SH00174,23,0,22,0.0000,0.9565
SH00175,35,0,33,0.0000,0.9429
SH00176,25,0,23,0.0000,0.9200
SH00177,26,0,25,0.0000,0.9615
SH00178,30,0,28,0.0000,0.9333
SH00179,25,0,24,0.0000,0.9600
SH00180,28,0,26,0.0000,0.9286
