timestamp,power,temperature,humidity,solar_radiation
2023-01-01 00:00:00,2.98,-4.71,72.27,54.52
2023-01-01 01:00:00,0.0,-4.71,60.33,52.25
2023-01-01 02:00:00,3.89,-1.56,69.9,0.0
2023-01-01 03:00:00,9.14,-5.36,65.11,79.93
2023-01-01 04:00:00,0.0,-3.69,65.45,0.0
2023-01-01 05:00:00,0.0,1.11,54.33,0.0
2023-01-01 06:00:00,9.48,-0.86,53.17,23.95
2023-01-01 07:00:00,4.78,3.43,60.5,0.0
2023-01-01 08:00:00,0.0,6.23,60.42,18.73
2023-01-01 09:00:00,3.73,3.06,51.49,19.89
2023-01-01 10:00:00,0.0,6.03,50.08,0.24
2023-01-01 11:00:00,0.0,2.85,57.33,52.32
2023-01-01 12:00:00,2.12,6.84,57.0,0.0
2023-01-01 13:00:00,0.0,5.56,53.84,22.28
2023-01-01 14:00:00,0.0,5.61,59.43,66.92
2023-01-01 15:00:00,0.0,2.58,51.24,47.37
2023-01-01 16:00:00,0.0,-0.49,57.41,44.84
2023-01-01 17:00:00,2.06,2.63,69.84,0.0
2023-01-01 18:00:00,0.0,-3.79,64.53,26.24
2023-01-01 19:00:00,0.0,-1.6,64.82,0.0
2023-01-01 20:00:00,8.79,-0.29,75.72,0.0
2023-01-01 21:00:00,0.0,-2.82,57.19,0.0
2023-01-01 22:00:00,0.41,-0.1,68.17,0.0
2023-01-01 23:00:00,0.0,-2.45,72.51,39.53
2023-01-02 00:00:00,0.0,-5.92,62.9,40.73
2023-01-02 01:00:00,0.67,-4.39,68.82,0.0
2023-01-02 02:00:00,0.0,-4.04,59.61,0.0
2023-01-02 03:00:00,2.25,-6.31,61.09,0.0
2023-01-02 04:00:00,0.0,-3.99,66.45,0.0
2023-01-02 05:00:00,0.0,-2.03,68.52,22.76
2023-01-02 06:00:00,0.0,-3.68,70.13,0.0
2023-01-02 07:00:00,11.31,1.78,69.78,0.0
2023-01-02 08:00:00,0.31,2.39,59.19,71.48
2023-01-02 09:00:00,0.0,0.58,63.42,0.0
2023-01-02 10:00:00,5.61,5.53,54.15,73.06
2023-01-02 11:00:00,0.0,6.65,59.37,0.0
2023-01-02 12:00:00,2.03,5.84,55.56,9.04
2023-01-02 13:00:00,0.0,4.57,57.09,0.0
2023-01-02 14:00:00,0.0,5.9,57.98,88.36
2023-01-02 15:00:00,1.73,5.28,49.43,0.0
2023-01-02 16:00:00,4.82,3.5,53.9,7.06
2023-01-02 17:00:00,1.23,0.03,62.45,29.72
2023-01-02 18:00:00,0.0,0.94,56.09,0.0
2023-01-02 19:00:00,0.0,1.49,68.68,0.0
2023-01-02 20:00:00,0.0,-3.3,68.88,0.0
