天猫商家中心 - 发票汇总清单
导出时间：2026-03-01 09:00:00
记录总数：20
=========================================

序号	发票代码	发票号码	开票日期	买家名称	卖家名称	金额	税额	合计	税率	类型
1	01125100201	11703434	2026-01-05	长沙湘雅医药有限公司	本公司（自开）	19842.86	1190.57	21033.43	6%	销项
2	01125100203	11703499	2026-01-12	西安唐韵文化传播有限公司	本公司（自开）	40091.15	0.00	40091.15	0%	销项
3	01125100205	11703564	2026-01-18	长沙湘雅医药有限公司	本公司（自开）	17266.54	1035.99	18302.53	6%	销项
4	01125100207	11703629	2026-01-25	武汉长江建筑工程有限公司	本公司（自开）	16888.15	1519.93	18408.08	9%	销项
5	01125100209	11703694	2026-02-03	天津港物流有限公司	本公司（自开）	45064.29	2703.86	47768.15	6%	销项
6	01125100211	11703759	2026-02-10	苏州园林工程有限公司	本公司（自开）	10876.11	0.00	10876.11	0%	销项
7	01125100213	11703824	2026-02-20	成都锦绣百货有限公司	本公司（自开）	31573.98	0.00	31573.98	0%	销项
8	01125100215	11703889	2026-02-28	北京华联商贸有限公司	本公司（自开）	7769.73	233.09	8002.82	3%	销项
9	01125100217	11703954	2026-01-05	上海恒源科技有限公司	本公司（自开）	41534.71	3738.12	45272.83	9%	销项
10	01125100219	11704019	2026-01-12	深圳创新数码科技有限公司	本公司（自开）	38474.58	2308.47	40783.05	6%	销项
11	01125100221	11704084	2026-01-18	重庆山城食品有限公司	本公司（自开）	42948.93	3865.40	46814.33	9%	销项
12	01125100223	11704149	2026-01-25	重庆山城食品有限公司	本公司（自开）	40763.95	5299.31	46063.26	13%	销项
13	01125100225	11703842	2026-01-05	本公司（自开）	成都锦绣百货有限公司	39174.61	2350.48	41525.09	6%	进项
14	01125100227	11703907	2026-01-12	本公司（自开）	杭州盛世餐饮管理有限公司	8652.38	0.00	8652.38	0%	进项
15	01125100229	11703972	2026-01-18	本公司（自开）	北京华联商贸有限公司	45402.43	2724.15	48126.58	6%	进项
16	01125100231	11704037	2026-01-25	本公司（自开）	南京金陵物业服务有限公司	43757.40	1312.72	45070.12	3%	进项
17	01125100233	11704102	2026-02-03	本公司（自开）	长沙湘雅医药有限公司	29446.56	3828.05	33274.61	13%	进项
18	01125100235	11704167	2026-02-10	本公司（自开）	天津港物流有限公司	25206.44	1512.39	26718.83	6%	进项
19	01125100237	11704232	2026-02-20	本公司（自开）	西安唐韵文化传播有限公司	36966.74	1109.00	38075.74	3%	进项
20	01125100239	11704297	2026-02-28	本公司（自开）	长沙湘雅医药有限公司	31056.55	2795.09	33851.64	9%	进项
