"发票代码","发票号码","开票日期","购买方名称","购买方税号","销售方名称","销售方税号","金额","税额","价税合计","税率","发票类型"
"01116100081","11701394","2026-01-05","上海恒源科技有限公司","9111010002000","本公司（自开）","9111090002000","44339.23","2660.35","46999.58","6%","销项"
"01116100083","11701459","2026-01-12","南京金陵物业服务有限公司","9111010002001","本公司（自开）","9111090002001","38675.85","3480.83","42156.68","9%","销项"
"01116100085","11701524","2026-01-18","西安唐韵文化传播有限公司","9111010002002","本公司（自开）","9111090002002","49190.37","1475.71","50666.08","3%","销项"
"01116100087","11701589","2026-01-25","深圳创新数码科技有限公司","9111010002003","本公司（自开）","9111090002003","31515.93","4097.07","35613.00","13%","销项"
"01116100089","11701654","2026-02-03","南京金陵物业服务有限公司","9111010002004","本公司（自开）","9111090002004","43218.62","1296.56","44515.18","3%","销项"
"01116100091","11701719","2026-02-10","深圳创新数码科技有限公司","9111010002005","本公司（自开）","9111090002005","16990.78","509.72","17500.50","3%","销项"
"01116100093","11701784","2026-02-20","长沙湘雅医药有限公司","9111010002006","本公司（自开）","9111090002006","33347.36","0.00","33347.36","0%","销项"
"01116100095","11701849","2026-02-28","苏州园林工程有限公司","9111010002007","本公司（自开）","9111090002007","550.70","0.00","550.70","0%","销项"
"01116100097","11701914","2026-01-05","苏州园林工程有限公司","9111010002008","本公司（自开）","9111090002008","45843.07","2750.58","48593.65","6%","销项"
"01116100099","11701979","2026-01-12","广州盛世物流有限公司","9111010002009","本公司（自开）","9111090002009","48354.53","1450.64","49805.17","3%","销项"
"01116100101","11702044","2026-01-18","苏州园林工程有限公司","9111010002010","本公司（自开）","9111090002010","6159.66","800.76","6960.42","13%","销项"
"01116100103","11702109","2026-01-25","上海恒源科技有限公司","9111010002011","本公司（自开）","9111090002011","23378.42","0.00","23378.42","0%","销项"
"01116100105","11701802","2026-01-05","本公司（自开）","9111010002000","青岛海产贸易有限公司","9111090002000","49149.06","6389.38","55538.44","13%","进项"
"01116100107","11701867","2026-01-12","本公司（自开）","9111010002001","长沙湘雅医药有限公司","9111090002001","33755.01","3037.95","36792.96","9%","进项"
"01116100109","11701932","2026-01-18","本公司（自开）","9111010002002","重庆山城食品有限公司","9111090002002","3796.51","341.69","4138.20","9%","进项"
"01116100111","11701997","2026-01-25","本公司（自开）","9111010002003","广州盛世物流有限公司","9111090002003","18046.99","1082.82","19129.81","6%","进项"
"01116100113","11702062","2026-02-03","本公司（自开）","9111010002004","南京金陵物业服务有限公司","9111090002004","17339.93","520.20","17860.13","3%","进项"
"01116100115","11702127","2026-02-10","本公司（自开）","9111010002005","南京金陵物业服务有限公司","9111090002005","32362.74","970.88","33333.62","3%","进项"
"01116100117","11702192","2026-02-20","本公司（自开）","9111010002006","西安唐韵文化传播有限公司","9111090002006","6752.22","0.00","6752.22","0%","进项"
"01116100119","11702257","2026-02-28","本公司（自开）","9111010002007","武汉长江建筑工程有限公司","9111090002007","32900.42","1974.03","34874.45","6%","进项"
