GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
wedding-suite-backend,com.wedding.suite.service.impl,WeddingService,407,0,32,0,78,0,33,0,14,0
wedding-suite-backend,com.wedding.suite.service.impl,ContractService,32,471,12,36,3,105,13,26,1,14
wedding-suite-backend,com.wedding.suite.service.impl,NotificationServiceImpl,260,0,10,0,56,0,23,0,18,0
wedding-suite-backend,com.wedding.suite.service.impl,SignServiceImpl,667,405,23,22,129,77,24,13,4,8
wedding-suite-backend,com.wedding.suite.service.impl,SettingsService,79,0,2,0,20,0,5,0,4,0
wedding-suite-backend,com.wedding.suite.service.impl,PortalService,68,0,0,0,15,0,7,0,7,0
wedding-suite-backend,com.wedding.suite.service.impl,SmsServiceImpl,224,0,15,0,52,0,14,0,6,0
wedding-suite-backend,com.wedding.suite.service.impl,FinanceService,87,0,4,0,14,0,10,0,8,0
wedding-suite-backend,com.wedding.suite.service.impl,FollowupService,75,0,0,0,15,0,6,0,6,0
wedding-suite-backend,com.wedding.suite.service.impl,ExportServiceImpl,1117,0,54,0,155,0,44,0,17,0
wedding-suite-backend,com.wedding.suite.service.impl,ReportService,253,0,14,0,43,0,15,0,8,0
wedding-suite-backend,com.wedding.suite.service.impl,PackageService,120,0,6,0,32,0,8,0,5,0
wedding-suite-backend,com.wedding.suite.service.impl,AuthService,202,0,16,0,36,0,16,0,6,0
wedding-suite-backend,com.wedding.suite.service.impl,PricingService,110,0,6,0,18,0,8,0,5,0
wedding-suite-backend,com.wedding.suite.service.impl,ScheduleService,360,0,29,0,54,0,31,0,15,0
wedding-suite-backend,com.wedding.suite.service.impl,ExportServiceImpl.RowStyle,6,0,0,0,1,0,1,0,1,0
wedding-suite-backend,com.wedding.suite.config,SecurityConfig,85,0,0,0,16,0,6,0,6,0
wedding-suite-backend,com.wedding.suite.config,RedisConfig,61,0,0,0,18,0,3,0,3,0
wedding-suite-backend,com.wedding.suite.config,RestClientConfig,6,0,0,0,2,0,2,0,2,0
wedding-suite-backend,com.wedding.suite.config,CorsConfig,61,0,4,0,16,0,4,0,2,0
wedding-suite-backend,com.wedding.suite,WeddingSuiteApplication,8,0,0,0,3,0,2,0,2,0
wedding-suite-backend,com.wedding.suite.controller,ReportController,27,0,0,0,7,0,5,0,5,0
wedding-suite-backend,com.wedding.suite.controller,AddonController,11,0,0,0,4,0,2,0,2,0
wedding-suite-backend,com.wedding.suite.controller,NotificationController,48,0,2,0,12,0,7,0,6,0
wedding-suite-backend,com.wedding.suite.controller,PackageController,17,0,0,0,5,0,3,0,3,0
wedding-suite-backend,com.wedding.suite.controller,AuthController,18,0,0,0,5,0,3,0,3,0
wedding-suite-backend,com.wedding.suite.controller,WeddingController,34,0,0,0,7,0,5,0,5,0
wedding-suite-backend,com.wedding.suite.controller,PricingController,12,0,0,0,4,0,2,0,2,0
wedding-suite-backend,com.wedding.suite.controller,SettingsController,17,0,0,0,5,0,3,0,3,0
wedding-suite-backend,com.wedding.suite.controller,ExportController,110,0,0,0,25,0,8,0,8,0
wedding-suite-backend,com.wedding.suite.controller,FinanceController,23,0,0,0,6,0,4,0,4,0
wedding-suite-backend,com.wedding.suite.controller,EsignCallbackController,253,0,14,0,74,0,12,0,4,0
wedding-suite-backend,com.wedding.suite.controller,FollowupController,24,0,0,0,6,0,4,0,4,0
wedding-suite-backend,com.wedding.suite.controller,ContractController,101,0,10,0,19,0,14,0,9,0
wedding-suite-backend,com.wedding.suite.controller,ScheduleController,37,0,0,0,8,0,5,0,5,0
wedding-suite-backend,com.wedding.suite.controller,PortalController,31,0,0,0,7,0,5,0,5,0
wedding-suite-backend,com.wedding.suite.common,AuthUtil,38,14,12,2,6,5,9,2,2,2
wedding-suite-backend,com.wedding.suite.common,SecurityUser,20,0,0,0,6,0,6,0,6,0
wedding-suite-backend,com.wedding.suite.service,NotificationService,9,0,0,0,2,0,1,0,1,0
wedding-suite-backend,com.wedding.suite.service,SmsService,6,0,0,0,2,0,1,0,1,0
wedding-suite-backend,com.wedding.suite.util,ScheduleConflictDetector.IndexKey,6,41,4,4,0,9,4,3,0,3
wedding-suite-backend,com.wedding.suite.util,PricingCalculator,266,0,26,0,43,0,17,0,4,0
wedding-suite-backend,com.wedding.suite.util,ScheduleConflictDetector,6,258,10,34,3,50,10,22,0,10
wedding-suite-backend,com.wedding.suite.security,JwtAuthenticationFilter,100,0,10,0,25,0,8,0,3,0
wedding-suite-backend,com.wedding.suite.security,CustomUserDetailsService,35,0,0,0,6,0,3,0,3,0
wedding-suite-backend,com.wedding.suite.security,JwtUtil,147,0,6,0,39,0,11,0,8,0
wedding-suite-backend,com.wedding.suite.exception,ErrorCode,0,147,0,0,0,15,0,3,0,3
